SUMLEV,Geo,ERENOV_V1,ERENOV_V2,ERENOV_V3,ERENOV_V4,ERENOV_V5,ERENOV_V6,ERENOV_V7,ERENOV_V8
SL040,341003,5,4,,,,1,,
SL040,340734,2,,,,2,,,
SL040,340535,2,1,,1,,,,
SL040,340802,6,3,,3,,,,
SL040,341328,2,2,,,,,,
SL040,340244,2,2,,,,,,
SL040,340129,1,,,,1,,,
SL040,340141,4,2,,,1,1,,
SL040,340813,2,2,,,,,,
SL040,340114,2,2,,,,,,
SL040,341106,3,2,,,,1,,
SL050,34010404016,1,1,,,,,,
SL050,34010404041,1,,,1,,,,
SL050,34011111010,1,,,,1,,,
SL050,34011111020,2,1,,,,1,,
SL050,34011111033,2,1,,,,,,1
SL050,34011111035,7,,,7,,,,
SL050,34011414018,1,1,,,,,,
SL050,34011414048,1,1,,,,,,
SL050,34011818020,1,,,,1,,,
SL050,34011818022,1,,,,1,,,
SL050,34011818023,1,1,,,,,,
SL050,34011818030,1,,,,1,,,
SL050,34011818047,1,,,,1,,,
SL050,34011818087,1,,,,1,,,
SL050,34011818108,1,,,,1,,,
SL050,34011818122,1,1,,,,,,
SL050,34011818127,1,1,,,,,,
SL050,34011818132,1,,,,1,,,
SL050,34011818140,1,1,,,,,,
SL050,34011818158,1,1,,,,,,
SL050,34011818905,1,1,,,,,,
SL050,34012121035,1,,1,,,,,
SL050,34012121037,1,,,,1,,,
SL050,34012121041,2,2,,,,,,
SL050,34012121043,1,1,,,,,,
SL050,34012121044,1,1,,,,,,
SL050,34012121064,4,1,,,,3,,
SL050,34012323005,1,1,,,,,,
SL050,34012323010,2,2,,,,,,
SL050,34012323011,1,,,,1,,,
SL050,34012323024,1,,,,1,,,
SL050,34012323050,1,,,,1,,,
SL050,34012323055,1,,,,1,,,
SL050,34012323092,1,,,,1,,,
SL050,34012323094,1,1,,,,,,
SL050,34012929032,1,,,,1,,,
SL050,34014141004,1,,,,,1,,
SL050,34014141038,1,1,,,,,,
SL050,34014141056,1,1,,,,,,
SL050,34014141073,1,,,,1,,,
SL050,34022222017,1,1,,,,,,
SL050,34022222082,1,1,,,,,,
SL050,34022222115,1,1,,,,,,
SL050,34022222124,1,,,,1,,,
SL050,34022222128,1,,,,1,,,
SL050,34022222181,1,,,,1,,,
SL050,34024444068,1,1,,,,,,
SL050,34024444216,1,1,,,,,,
SL050,34025050059,1,1,,,,,,
SL050,34025050152,2,,,2,,,,
SL050,34025050165,2,2,,,,,,
SL050,34025050181,1,,,1,,,,
SL050,34025050222,1,,,,1,,,
SL050,34025050252,1,,,1,,,,
SL050,34025050296,1,1,,,,,,
SL050,34025050297,3,3,,,,,,
SL050,34033333011,1,,,,1,,,
SL050,34033333019,1,,1,,,,,
SL050,34033333024,1,,,,,1,,
SL050,34033333044,2,1,,,1,,,
SL050,34040707022,3,3,,,,,,
SL050,34040707055,1,,1,,,,,
SL050,34053535016,1,1,,,,,,
SL050,34053535022,1,,,1,,,,
SL050,34053838005,1,,,1,,,,
SL050,34053838006,1,1,,,,,,
SL050,34053838017,5,,,5,,,,
SL050,34053838018,1,,,,1,,,
SL050,34053838024,1,,1,,,,,
SL050,34053838048,1,,,1,,,,
SL050,34053838050,1,,,1,,,,
SL050,34063939002,1,,,,1,,,
SL050,34063939012,1,1,,,,,,
SL050,34063939021,2,,1,1,,,,
SL050,34063939043,2,,,,,2,,
SL050,34063939068,1,1,,,,,,
SL050,34063939074,1,1,,,,,,
SL050,34063939087,1,1,,,,,,
SL050,34070505002,3,,,,3,,,
SL050,34070505019,1,,,1,,,,
